,Vacancy,Salary,Salary_min,Salary_max,Employer,Location,Description,Url,Site
57,Системный аналитик,,NaN,NaN,ООО СофтМедиаЛаб,Москва,Опыт не менее 3 лет. Технические навыки: Python - обязательно. SQL - обязательно. Dashboarding - обязательно (желательно Power BI). AWS - желательно (они используют...,https://spb.hh.ru/vacancy/46709848?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
58,Аналитик,175 000 – 200 000 руб.,175000,200000,ООО ОРИМИ ТРЭЙД,ИИС-Консалтинг,Бизнес-аналитик данных / BI аналитик,https://spb.hh.ru/vacancy/45889664?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
59,Аналитик данных,,NaN,NaN,BIV,Ростов-на-Дону,Оптимизация процесса сбора данных и поддержание их качества. Выявления и формирование требований для построения аналитики. Анализ данных и аналитическая отчетность. Аналитический склад ума. Навык проведения презентации. Высшее образование. Понимание данных и опыт работы с ними от 1 года. ,https://spb.hh.ru/vacancy/42702956?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
60,Ведущий бизнес-аналитик,от 100 000 руб.,100000,NaN,"ЭФКО, Управляющая компания","ЭФКО, Управляющая компания",Ведущий бизнес-аналитик,https://spb.hh.ru/vacancy/43864516?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
61,BI-аналитик,,NaN,NaN,АБН,Брянск,Поиск и формирование наборов данных для построения аналитики. Написание заданий на добавление новых наборов данных в хранилище данных. Знание языка DAX. Опыт формирования технических заданий на разработку хранилищ данных. Опыт работы не менее 1 года. Высшее образование. ,https://spb.hh.ru/vacancy/46785169?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
62,Аналитик-Консультант в Торговый Департамент,80 000 – 120 000 руб.,80000,120000,"ЦУМ, Офис",Брянск,BI-аналитик,https://spb.hh.ru/vacancy/46757272?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
63,Аналитик,,NaN,NaN,Сбер для экспертов,АБН,"...отчетности на базе Power BI. - Формирование документации по BI решениям (модели данных, отчеты, дэшборды и т.д.); Нравится13:53.Знание статистики, основ финансов. Power BI (знание DAX). ВАЖНО: Умение аналитические вкладки переводить на язык бизнеса и бизнес-задачи решать...",https://spb.hh.ru/vacancy/45396716?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
64,Аналитик,,NaN,NaN,Яндекс,Москва,Аналитик-Консультант в Торговый Департамент,https://spb.hh.ru/vacancy/46681717?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
65,Бизнес-аналитик данных,,NaN,NaN,Tele2,Москва,"Знание и умение работать с CRM программой. Актуализация данных и анализ эффективности проводимых внутренних конкурсов. Оптимизация работы персонала и трат...Умение анализировать данные: искать причины, выдвигать обоснованные гипотезы, делать выводы на основе данных, прогнозировать. Опыт в управлении розничными продажами как...",https://spb.hh.ru/vacancy/46700955?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
66,Младший программист-аналитик SQL,,NaN,NaN,Билайн,"ЦУМ, Офис",Аналитик,https://spb.hh.ru/vacancy/46469389?from=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85,hh.ru
